"编号","开始答题时间","结束答题时间","答题时长","1.您在过去一年中绝大部分时间（指在9个月以上）居住在？","2.您现在有工作吗？","3.您的年龄是？","4.您的常住地在？","5.您有多少个孩子？","6.您一般每天会在家务劳动（如：买菜做饭、做卫生、照顾孩子等）上花费多少个小时？","7.除了睡觉时间外，您每天的闲暇时间（即没有事情做的时间）有多少个小时？","8.您现在希望拥有工作吗?","9.您想参加工作的主要原因是什么？:增加家庭收入，改善家庭经济条件","9.您想参加工作的主要原因是什么？:结识更多的人，拓宽社交圈子","9.您想参加工作的主要原因是什么？:获得社会认可，实现个人价值","9.您想参加工作的主要原因是什么？:学习新的技能，充实自身 ","9.您想参加工作的主要原因是什么？:响应政策鼓励，如政府扶持的乡村振兴项目或技能培训计划等","9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）","9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）[选项填空]","10.您不想参加工作的主要原因是什么？:需要全职照顾孩子/老人","10.您不想参加工作的主要原因是什么？:身体健康条件不允许","10.您不想参加工作的主要原因是什么？:认为自己作为女性不该外出工作","10.您不想参加工作的主要原因是什么？:周边没有适合的工作机会","10.您不想参加工作的主要原因是什么？:现有技能达不到工作要求","10.您不想参加工作的主要原因是什么？:家庭收入已经满足生活需求，无需再参与工作","10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）","10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）[选项填空]","11.您希望它是全职还是兼职工作？","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:稳定且可预期的收入","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:享受完整的员工福利（社保、医保、休假等）","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:更清晰的职业发展和晋升机会","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:深入参与工作，获得全面经验","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:看重工作稳定性和安全感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:建立团队归属感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:便于个人生活和财务规划","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:满足事业心和成就感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:承担更重要的职责","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）[选项填空]","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:追求工作与生活平衡","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间照顾家庭（育儿、养老等）","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间学习或深造","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:看重工作时间和地点的灵活性","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:同时从事多份工作或发展副业","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:减轻工作压力，保持身心健康","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:作为进入新行业或重返职场的过渡","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:已有其他主要收入来源","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:探索工作多样性或兴趣","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:避免职业倦怠，保持热情","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:身体状况/精力限制","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:增加收入但不愿承担全职责任","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）[选项填空]","14.您希望它是线上的还是线下的？","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:节省通勤时间和成本","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作时间和地点更灵活自由","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:能更好地平衡工作和生活/家庭","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:可以跨地域工作（不受居住地限制）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作环境更舒适自在（如在家）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:减少外界干扰，更能专注任务","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:更便于安排个人事务（如看病、接送等）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:个人偏好（习惯/喜欢线上工作模式）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）[选项填空]","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:促进面对面沟通和团队协作","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:建立更紧密的同事关系和归属感","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作内容或性质需要特定场所/设备（如实验室、机器、门店）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:清晰分隔工作与生活空间","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:需要现场指导或管理","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:减少在家工作的干扰（如孩子、家务等）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:享受公司提供的办公环境和资源","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:个人偏好（习惯/喜欢线下工作氛围）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作性质要求必须线下完成（如制造、医护、服务等）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）[选项填空]","17.您最希望每周工作多少天？","18.您最希望每天工作多少个小时？","19.您最希望这份工作每个月的收入有多少元？","20.您觉得这份工作中的社会保险（如基本养老保险、基本医疗保险、失业保险、工伤保险和生育保险）重要吗？","21.您觉得这份工作中，签订劳动合同重要吗？","22.您的学历是？","23.您以前有参加过工作吗？","24.您的累计工作年限（即参加工作的年数）一共多少年？","25.阅读以下工作内容，选择最符合您的实际情况的选项","26.阅读以下工作内容，选择最符合您的实际情况的选项","27.阅读以下工作内容，选择最符合您的实际情况的选项","28.阅读以下工作内容，选择最符合您的实际情况的选项","29.阅读以下工作内容，选择最符合您的实际情况的选项","30.本题请选择3分的选项","31.阅读以下工作内容，选择最符合您的实际情况的选项","32.阅读以下工作内容，选择最符合您的实际情况的选项","33.阅读以下工作内容，选择最符合您的实际情况的选项","34.您会使用手机、电脑等来上网吗？","35.当您在网上搜索信息（如新闻、知识、解决方案）时，您评估信息来源可靠性和信息真实性的能力如何？","36.您使用在线工具或软件（如文档协作、项目管理、在线会议、专业软件/APP）与他人合作完成工作或学习任务的熟练程度如何？","37.您在互联网上创作和分享原创内容（如撰写博客/公众号/帖子、制作发布图片/视频、编写代码、设计作品等）的经验和能力如何？","38.您对保护个人隐私信息和防范网络安全风险（如诈骗、病毒、钓鱼链接）的意识和采取的措施如何？","39.当您在使用数字设备或网络服务遇到技术问题（如软件无法使用、网络连接故障、设备设置问题）时，您通常如何解决？","40.您懂用电脑或手机做什么工作？:进行修图、视频剪辑的工作","40.您懂用电脑或手机做什么工作？:在手机上销售自家商品（如农产品、手工品）","40.您懂用电脑或手机做什么工作？:通过直播介绍商品","40.您懂用电脑或手机做什么工作？:用手机记录数据（如大棚温度、农村路况）","40.您懂用电脑或手机做什么工作？:通过手机视频教别人手工、烹饪等技能","40.您懂用电脑或手机做什么工作？:进行语言类标注工作（如字幕制作、方言翻译等）","40.您懂用电脑或手机做什么工作？:做在线客服工作","40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）","40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）[选项填空]","41.以下软件中，您会使用哪些？:手机文件管理器","41.以下软件中，您会使用哪些？:PowerPoint（PPT）","41.以下软件中，您会使用哪些？:Word","41.以下软件中，您会使用哪些？:Excel","41.以下软件中，您会使用哪些？:WPS","41.以下软件中，您会使用哪些？:PS/美图秀秀/醒图等","41.以下软件中，您会使用哪些？:Pr/剪映/必剪等","41.以下软件中，您会使用哪些？:抖音/快手","41.以下软件中，您会使用哪些？:淘宝/京东/拼多多","41.以下软件中，您会使用哪些？:支付宝","41.以下软件中，您会使用哪些？:腾讯会议","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"317","27-Aug-2025 10:57:49","27-Aug-2025 11:08:51","662","2","3","49","3","4","6","12","1","1","","","","","","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","1","","","","","","6","10","	5000","2","2","4","1","14","7","3","1","1","3","4","1","4","1","1","1","2","2","2","2","","1","","","","","","","","","","","","","","","1","1","","","简体中文","未清洗","","中国","湖北省","恩施土家族苗族自治州","","117.153.178.95","mozilla/5.0 (linux; android 13;huawei mate 30pro harmonyos;    LIO-AN00 build/huaweiLIO-AN00; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/92.0.4515.105 mobile safari/537.36 qukan qapp_android qapp_version_32043000 qukan_android qukan_ver","",
"316","27-Aug-2025 10:59:14","27-Aug-2025 11:06:20","426","2","3","42","4","3","4","13","1","1","","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","1","","1","","","","6","8","	6500","2","2","4","2","0","1","2","1","1","2","4","1","6","2","1","2","2","2","1","2","","","1","","1","","","","","","","","","","","","1","","","","简体中文","未清洗","","中国","安徽省","亳州市","","36.4.214.173","Mozilla/5.0 (Linux; Android 11; KB2000 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/15.19 SP-engine/3.49.0 bd_dvt/0 baiduboxapp/15.23.0.11 (Baidu; P1 11) NABar/1.0","",
"315","27-Aug-2025 10:57:45","27-Aug-2025 11:04:32","407","2","3","35","3","2","5","14","1","","","1","","1","","","","","","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","1","","","","","","","","","6","10","	6000","2","2","5","1","7","8","3","1","1","3","4","1","6","4","1","4","2","3","2","3","1","","","","","1","","","","","1","1","1","","1","1","1","1","1","","简体中文","未清洗","","中国","海南省","海口市","","113.58.196.62","Mozilla/5.0 (Linux; Android 14; Galaxy Z Fold6 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 Grab/12.3.4 (Android; en-MY; MY)","",
"314","27-Aug-2025 10:51:28","27-Aug-2025 10:57:00","332","2","3","32","2","2","9","7","2","","","","","","","","1","","","1","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","1","","","","","","","","","","","","","","","5","5","	4000","4","3","5","2","0","8","2","1","1","3","4","1","5","4","1","3","2","3","3","4","1","","","","","","","","","1","1","","1","","1","1","1","1","1","","简体中文","未清洗","","中国","上海市","上海市","","101.226.139.38","mozilla/5.0 (linux; android 13;vivo  X80 Pro  /v2049a; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/87.0.4280.141 mobile safari/537.36 vivobrowser/14.5.0.0","",
"313","27-Aug-2025 10:44:07","27-Aug-2025 10:50:31","384","2","3","26","1","1","3","16","1","","1","1","","","","","","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","1","","","","","","1","","","5","9","	6000","2","2","6","2","0","8","7","2","5","5","4","4","6","6","1","5","4","4","3","5","","","","","","1","1","","","1","1","1","1","1","","","1","1","1","1","简体中文","未清洗","","中国","北京市","北京市","","114.249.59.209","mozilla/5.0 (linux; android 13;huawe inova 10SE  harmonyos; nco-al00; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"312","27-Aug-2025 10:44:02","27-Aug-2025 10:49:33","331","2","3","39","3","3","6","12","2","","","","","","","","","1","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","1","","","","1","","","","","","","","","","","","","","","5","5","	3000","2","2","4","2","0","1","2","1","1","3","4","1","6","2","1","2","2","1","2","1","","","1","","","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","浙江省","杭州市","","61.174.129.222","mozilla/5.0 (linux; android 13; oppo Find X8 Pro/ v2199a; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/87.0.4280.141 mobile safari/537.36 vivobrowser/14.4.40.0","",
"311","27-Aug-2025 10:24:59","27-Aug-2025 10:40:47","948","2","3","42","3","3","5","11","1","1","","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","1","","","","","6","9","	5000","3","2","4","1","20","1","2","1","1","3","4","1","6","4","1","2","2","1","2","2","","","1","","1","","","","","","","","","","","","1","1","","","简体中文","未清洗","","中国","青海省","西宁市","","175.184.149.149","Mozilla/5.0 (Linux; Android 13; V2171A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.200 Mobile Safari/537.36 VivoBrowser/25.5.3.1","",
"310","27-Aug-2025 10:24:48","27-Aug-2025 10:39:38","890","2","3","36","3","2","4","14","1","1","","","1","","","","","","","","","","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","1","1","","","","","6","9","	6500","2","2","5","1","9","8","2","1","1","4","4","1","7","4","1","3","2","3","3","3","","1","1","","1","","1","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","河南省","鹤壁市","","123.12.249.69","mozilla/5.0 (linux; android 13;vivo X 50  /V2001A; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/87.0.4280.141 mobile safari/537.36 vivobrowser/14.5.0.0","",
"309","27-Aug-2025 10:24:27","27-Aug-2025 10:36:47","740","2","3","30","5","2","5","13","1","","","1","1","","","","","","","","","","","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","1","","","","1","","","","","5","8","	8000","2","1","6","1","3","8","1","6","2","4","4","1","7","6","1","4","5","5","5","4","1","","","","","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","河北省","石家庄市","","101.96.151.69","Mozilla/5.0 (Linux; Android 12; HarmonyOS; BLK-AL80; HMSCore 6.15.0.322) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.196 HuaweiBrowser/16.0.7.301 Mobile Safari/537.36","",
"308","27-Aug-2025 10:11:12","27-Aug-2025 10:21:59","647","2","3","29","1","1","3","16","1","","1","1","1","","","","","","","","","","","","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","1","","","","","5","8","	7000","2","2","6","1","3","5","1","1","7","7","4","3","7","6","1","4","4","3","3","4","1","","1","","","","1","","","","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","河北省","唐山市","","101.22.50.240","Mozilla/5.0 (Linux; Android 15; MAA-AN00 Build/HONORMAA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/15.19 SP-engine/3.36.0 bd_dvt/0 baiduboxapp/15.19.0.10 (Baidu; P1 15) NABar/1.0","",
"307","27-Aug-2025 10:12:42","27-Aug-2025 10:20:50","488","2","3","34","3","2","6","11","1","","","1","1","","","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","1","1","1","","1","1","","","","","","","","","","","","","","6","10","	7500","1","2","5","1","6","8","6","1","1","3","4","1","6","6","1","3","2","3","2","2","1","","","","","","","","","","","1","1","1","1","1","1","1","1","","简体中文","未清洗","","中国","辽宁省","沈阳市","","113.224.113.55","mozilla/5.0 (linux; android 13;huawei Pura70Pro harmonyos; BAL-AL80; hmscore 6.11.0.332) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/14.0.0.323 mobile safari/537.36","",
"306","27-Aug-2025 10:11:28","27-Aug-2025 10:19:54","506","2","3","50","3","3","6","10","2","","","","","","","","","","","1","1","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","5","8","	5000","2","2","2","2","0","1","2","1","1","2","4","1","4","2","1","1","2","2","1","1","","1","1","","","","","","","","","","","","","","1","1","","","简体中文","未清洗","","中国","福建省","福州市","","211.97.115.224","mozilla/5.0 (linux; android 13;huawei Pura70 Ultra harmonyos; BAL-AL80; hmscore 6.11.0.332) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/14.0.0.323 mobile safari/537.36","",
