原始列名,题目编号,变量名,问题文本,选项,编码说明
语言,0,Q0,语言,,分类型(1类)
清洗数据结果,0,Q0,清洗数据结果,,分类型(1类)
智能清洗数据无效概率,0,Q0,智能清洗数据无效概率,,未知
地理位置国家和地区,0,Q0,地理位置国家和地区,,分类型(1类)
地理位置省,0,Q0,地理位置省,,文本
地理位置市,0,Q0,地理位置市,,文本
自定义字段,0,Q0,自定义字段,,未知
IP,0,Q0,IP,,文本
UA,0,Q0,UA,,文本
Unnamed: 128,0,Q0_01,Unnamed,128,未知
1.您在过去一年中绝大部分时间（指在9个月以上）居住在？,1,Q1,您在过去一年中绝大部分时间（指在9个月以上）居住在？,,离散编码(1~2)
2.您现在有工作吗？,2,Q2,您现在有工作吗？,,离散编码(2~3)
3.您的年龄是？,3,Q3,您的年龄是？,,数值型
4.您的常住地在？,4,Q4,您的常住地在？,,离散编码(1~5)
5.您有多少个孩子？,5,Q5,您有多少个孩子？,,离散编码(1~4)
6.您一般每天会在家务劳动（如：买菜做饭、做卫生、照顾孩子等）上花费多少个小时？,6,Q6_01,您一般每天会在家务劳动（如,买菜做饭、做卫生、照顾孩子等）上花费多少个小时？,数值型
7.除了睡觉时间外，您每天的闲暇时间（即没有事情做的时间）有多少个小时？,7,Q7,除了睡觉时间外，您每天的闲暇时间（即没有事情做的时间）有多少个小时？,,数值型
8.您现在希望拥有工作吗?,8,Q8,您现在希望拥有工作吗?,,离散编码(1~2)
9.您想参加工作的主要原因是什么？:增加家庭收入，改善家庭经济条件,9,Q9_01,您想参加工作的主要原因是什么？,增加家庭收入，改善家庭经济条件,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:结识更多的人，拓宽社交圈子,9,Q9_02,您想参加工作的主要原因是什么？,结识更多的人，拓宽社交圈子,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:获得社会认可，实现个人价值,9,Q9_03,您想参加工作的主要原因是什么？,获得社会认可，实现个人价值,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:学习新的技能，充实自身 ,9,Q9_04,您想参加工作的主要原因是什么？,学习新的技能，充实自身,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:响应政策鼓励，如政府扶持的乡村振兴项目或技能培训计划等,9,Q9_05,您想参加工作的主要原因是什么？,响应政策鼓励，如政府扶持的乡村振兴项目或技能培训计划等,"多选-指示变量(1=选择该项, 未选空/0)"
9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）,9,Q9_06,您想参加工作的主要原因是什么？:其他（请注明,____{fillblank-e7a9}）,未知
9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）[选项填空],9,Q9_07,您想参加工作的主要原因是什么？:其他（请注明,____{fillblank-e7a9}）[选项填空],未知
10.您不想参加工作的主要原因是什么？:需要全职照顾孩子/老人,10,Q10_01,您不想参加工作的主要原因是什么？,需要全职照顾孩子/老人,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:身体健康条件不允许,10,Q10_02,您不想参加工作的主要原因是什么？,身体健康条件不允许,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:认为自己作为女性不该外出工作,10,Q10_03,您不想参加工作的主要原因是什么？,认为自己作为女性不该外出工作,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:周边没有适合的工作机会,10,Q10_04,您不想参加工作的主要原因是什么？,周边没有适合的工作机会,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:现有技能达不到工作要求,10,Q10_05,您不想参加工作的主要原因是什么？,现有技能达不到工作要求,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:家庭收入已经满足生活需求，无需再参与工作,10,Q10_06,您不想参加工作的主要原因是什么？,家庭收入已经满足生活需求，无需再参与工作,"多选-指示变量(1=选择该项, 未选空/0)"
10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）,10,Q10_07,您不想参加工作的主要原因是什么？:其他（请注明,____{fillblank-9dd1}）,未知
10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）[选项填空],10,Q10_08,您不想参加工作的主要原因是什么？:其他（请注明,____{fillblank-9dd1}）[选项填空],未知
11.您希望它是全职还是兼职工作？,11,Q11,您希望它是全职还是兼职工作？,,离散编码(1~2)
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:稳定且可预期的收入,12,Q12_01,（多选，最多选3项）请问您为什么希望这份工作是全职？,稳定且可预期的收入,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:享受完整的员工福利（社保、医保、休假等）,12,Q12_02,（多选，最多选3项）请问您为什么希望这份工作是全职？,享受完整的员工福利（社保、医保、休假等）,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:更清晰的职业发展和晋升机会,12,Q12_03,（多选，最多选3项）请问您为什么希望这份工作是全职？,更清晰的职业发展和晋升机会,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:深入参与工作，获得全面经验,12,Q12_04,（多选，最多选3项）请问您为什么希望这份工作是全职？,深入参与工作，获得全面经验,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:看重工作稳定性和安全感,12,Q12_05,（多选，最多选3项）请问您为什么希望这份工作是全职？,看重工作稳定性和安全感,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:建立团队归属感,12,Q12_06,（多选，最多选3项）请问您为什么希望这份工作是全职？,建立团队归属感,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:便于个人生活和财务规划,12,Q12_07,（多选，最多选3项）请问您为什么希望这份工作是全职？,便于个人生活和财务规划,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:满足事业心和成就感,12,Q12_08,（多选，最多选3项）请问您为什么希望这份工作是全职？,满足事业心和成就感,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:承担更重要的职责,12,Q12_09,（多选，最多选3项）请问您为什么希望这份工作是全职？,承担更重要的职责,"多选-指示变量(1=选择该项, 未选空/0)"
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）,12,Q12_10,（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明,____{fillblank-832e}）,未知
12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）[选项填空],12,Q12_11,（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明,____{fillblank-832e}）[选项填空],未知
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:追求工作与生活平衡,13,Q13_01,（多选，最多选3项）请问您为什么希望这份工作是兼职？,追求工作与生活平衡,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间照顾家庭（育儿、养老等）,13,Q13_02,（多选，最多选3项）请问您为什么希望这份工作是兼职？,需要时间照顾家庭（育儿、养老等）,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间学习或深造,13,Q13_03,（多选，最多选3项）请问您为什么希望这份工作是兼职？,需要时间学习或深造,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:看重工作时间和地点的灵活性,13,Q13_04,（多选，最多选3项）请问您为什么希望这份工作是兼职？,看重工作时间和地点的灵活性,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:同时从事多份工作或发展副业,13,Q13_05,（多选，最多选3项）请问您为什么希望这份工作是兼职？,同时从事多份工作或发展副业,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:减轻工作压力，保持身心健康,13,Q13_06,（多选，最多选3项）请问您为什么希望这份工作是兼职？,减轻工作压力，保持身心健康,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:作为进入新行业或重返职场的过渡,13,Q13_07,（多选，最多选3项）请问您为什么希望这份工作是兼职？,作为进入新行业或重返职场的过渡,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:已有其他主要收入来源,13,Q13_08,（多选，最多选3项）请问您为什么希望这份工作是兼职？,已有其他主要收入来源,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:探索工作多样性或兴趣,13,Q13_09,（多选，最多选3项）请问您为什么希望这份工作是兼职？,探索工作多样性或兴趣,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:避免职业倦怠，保持热情,13,Q13_10,（多选，最多选3项）请问您为什么希望这份工作是兼职？,避免职业倦怠，保持热情,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:身体状况/精力限制,13,Q13_11,（多选，最多选3项）请问您为什么希望这份工作是兼职？,身体状况/精力限制,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:增加收入但不愿承担全职责任,13,Q13_12,（多选，最多选3项）请问您为什么希望这份工作是兼职？,增加收入但不愿承担全职责任,"多选-指示变量(1=选择该项, 未选空/0)"
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）,13,Q13_13,（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明,____{fillblank-a8c1}）,未知
13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）[选项填空],13,Q13_14,（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明,____{fillblank-a8c1}）[选项填空],未知
14.您希望它是线上的还是线下的？,14,Q14,您希望它是线上的还是线下的？,,离散编码(1~2)
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:节省通勤时间和成本,15,Q15_01,（多选，最多选3项）请问您为什么希望这份工作是线上的？,节省通勤时间和成本,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作时间和地点更灵活自由,15,Q15_02,（多选，最多选3项）请问您为什么希望这份工作是线上的？,工作时间和地点更灵活自由,"多选-指示变量(1=选择该项, 未选空/0)"
15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:能更好地平衡工作和生活/家庭,15,Q15_03,（多选，最多选3项）请问您为什么希望这份工作是线上的？,能更好地平衡工作和生活/家庭,"多选-指示变量(1=选择该项, 未选空/0)"
